Date,State,%_Positive_Antigen_Tests,Total_Antigen_Detection_Tests,Positive_Antigen_Tests,%_Positive_PCR_Tests,Total_PCR_Tests,Positive_PCR_Tests
2020-11-14,AL,0.01754,13.333,0.23386082,0.00417,81.0,0.33777
2020-11-21,AL,0.04135,15.0,0.62025,0.0,75.333,0.0
2020-11-28,AL,0.04135,15.667,0.64783045,0.0,78.667,0.0
2020-12-05,AL,0.023809999999999998,15.333,0.36507872999999996,0.0,87.333,0.0
2020-12-12,AL,0.0,13.0,0.0,0.0,99.333,0.0
2020-12-19,AL,0.06667,13.333,0.8889111099999999,0.0,92.0,0.0
2020-12-26,AL,0.17082999999999998,12.667,2.1639036099999998,0.0,83.0,0.0
2021-01-02,AL,0.26887,16.0,4.30192,0.0,85.333,0.0
2021-01-09,AL,0.20221,12.667,2.56139407,0.0,84.667,0.0
2021-01-16,AL,0.09804,9.0,0.88236,0.00383,89.0,0.34087
2021-01-23,AL,0.0,4.0,0.0,0.0073,85.667,0.6253691
2021-01-30,AL,0.0,4.333,0.0,0.0073,87.0,0.6351
2021-02-06,AL,0.030299999999999997,6.333,0.19188989999999997,0.0034699999999999996,88.0,0.30535999999999996
2021-02-13,AL,0.030299999999999997,8.667,0.26261009999999996,0.0,79.0,0.0
2021-02-20,AL,0.06734,9.667,0.65097578,0.0,77.667,0.0
2021-02-27,AL,0.037040000000000003,6.667,0.24694568000000003,0.0037,77.667,0.2873679
2021-03-06,AL,0.14815,5.667,0.83956605,0.0037,82.667,0.3058679
2021-03-13,AL,0.11111,3.333,0.37032963,0.02275,81.333,1.8503257499999999
2021-03-20,AL,0.13675,7.0,0.95725,0.02338,77.0,1.8002600000000002
2021-03-27,AL,0.19231,7.667,1.47444077,0.03787,72.0,2.72664
2021-04-03,AL,0.21795,11.333,2.47002735,0.023039999999999998,75.0,1.7279999999999998
2021-04-10,AL,0.39601,13.0,5.14813,0.02238,79.667,1.7829474600000002
2021-04-17,AL,0.31268,19.667,6.149477560000001,0.026150000000000003,81.0,2.1181500000000004
2021-04-24,AL,0.35950000000000004,23.0,8.268500000000001,0.04729,85.333,4.03539757
2021-05-01,AL,0.26691,22.0,5.872019999999999,0.06831999999999999,91.0,6.2171199999999995
2021-05-08,AL,0.26356999999999997,21.0,5.5349699999999995,0.08130000000000001,98.667,8.021627100000002
2021-05-15,AL,0.22444,26.667,5.98514148,0.09271000000000001,113.333,10.507102430000002
2021-05-22,AL,0.20529,31.333,6.43235157,0.11094,121.333,13.46068302
2021-05-29,AL,0.21818,43.333,9.454393940000001,0.14052,135.0,18.970200000000002
2021-06-05,AL,0.30866,41.667,12.86093622,0.17605,145.0,25.527250000000002
2021-06-12,AL,0.29363,45.0,13.21335,0.20065000000000002,152.0,30.498800000000003
2021-06-19,AL,0.28237,41.0,11.57717,0.19155,145.0,27.77475
2021-06-26,AL,0.27393999999999996,46.667,12.783957979999998,0.17189,121.333,20.85592937
2021-07-03,AL,0.26367999999999997,48.667,12.832514559999998,0.12586,111.667,14.05440862
2021-07-10,AL,0.27372,45.667,12.49997124,0.07655,119.0,9.10945
2021-07-17,AL,0.22976,42.333,9.72643008,0.03382,121.0,4.09222
2021-07-24,AL,0.17067,42.0,7.168139999999999,0.01956,141.0,2.75796
2021-07-31,AL,0.11964999999999999,42.333,5.06514345,0.03069,201.667,6.18916023
2021-08-07,AL,0.04823,36.333,1.75234059,0.04223,225.0,9.50175
2021-08-14,AL,0.08509,36.667,3.11999503,0.03857,194.667,7.50830619
2021-08-21,AL,0.05635,41.667,2.34793545,0.03221,196.333,6.32388593
2021-08-28,AL,0.07763,49.333,3.82972079,0.01786,170.667,3.0481126200000004
2021-09-04,AL,0.03318,36.333,1.20552894,0.020560000000000002,157.333,3.23476648
2021-09-11,AL,0.04905,25.667,1.2589663500000001,0.02328,82.667,1.9244877599999999
2021-09-18,AL,0.03758,21.333,0.8016941399999999,0.02452,64.667,1.58563484
2021-09-25,AL,0.07604,28.0,2.12912,0.02587,90.667,2.34555529
2021-10-02,AL,0.07604,28.0,2.12912,0.01955,88.0,1.7204000000000002
2021-10-09,AL,0.1047,25.333,2.6523651,0.01492,104.667,1.5616316399999999
2021-10-16,AL,0.09401999999999999,24.667,2.31919134,0.011399999999999999,88.0,1.0031999999999999
2021-10-23,AL,0.09849999999999999,27.0,2.6594999999999995,0.011559999999999999,86.667,1.00187052
2021-10-30,AL,0.06761,33.0,2.2311300000000003,0.00786,85.0,0.6681
2021-11-06,AL,0.04838,38.0,1.83844,0.01016,75.333,0.76538328
2021-11-13,AL,0.032,41.667,1.333344,0.021230000000000002,60.667,1.2879604100000002
2021-11-20,AL,0.032,41.667,1.333344,0.021230000000000002,47.0,0.9978100000000001
2021-11-27,AL,0.03438,49.0,1.68462,0.025070000000000002,51.333,1.2869183100000001
2021-12-04,AL,0.018500000000000003,51.667,0.9558395000000002,0.023860000000000003,52.667,1.2566346200000003
2021-12-11,AL,0.03279,57.333,1.8799490699999999,0.030529999999999998,54.667,1.66898351
2021-12-18,AL,0.03852,57.0,2.19564,0.03138,43.0,1.34934
2021-12-25,AL,0.04427,59.667,2.64145809,0.0195,91.0,1.7745
2022-01-01,AL,0.02241,51.667,1.15785747,0.01439,217.333,3.12742187
2022-01-08,AL,0.01686,41.667,0.70250562,0.00328,307.0,1.00696
2022-01-15,AL,0.01111,31.0,0.34441,0.00155,256.0,0.3968
2022-01-22,AL,0.02778,25.333,0.7037507399999999,0.01042,123.667,1.28861014
2022-01-29,AL,0.01667,20.333,0.33895111,0.030019999999999998,29.667,0.89060334
2022-02-05,AL,0.01667,17.333,0.28894111,0.030019999999999998,30.333,0.91059666
2022-02-12,AL,0.0,16.667,0.0,0.02199,66.333,1.4586626699999998
2022-02-19,AL,0.0,22.0,0.0,0.02246,88.333,1.98395918
2022-02-26,AL,0.0,21.667,0.0,0.02926,107.0,3.13082
2022-03-05,AL,0.0,25.333,0.0,0.04138,106.333,4.40005954
2022-03-12,AL,0.0,21.667,0.0,0.02484,110.0,2.7324
2022-03-19,AL,0.0,21.667,0.0,0.02162,108.333,2.34215946
2022-03-26,AL,0.0,15.667,0.0,0.00713,83.667,0.59654571
2022-04-02,AL,0.0,14.0,0.0,0.00358,70.667,0.25298786
2022-04-09,AL,0.0,13.333,0.0,0.0,54.0,0.0
2022-04-16,AL,0.0,15.333,0.0,0.0,48.667,0.0
2022-04-23,AL,0.0,14.0,0.0,0.00617,48.333,0.29821461
